date,player,team,game,market,platform,line,slot,more_boost,more_available,less_available,notes
2026-07-06,Cam Schlittler,,822958,strikeouts,prizepicks,6.0,,1.0,True,True,firecrawl
2026-07-06,Griffin Jax,,822958,strikeouts,prizepicks,5.5,,1.0,True,True,firecrawl
2026-07-06,Mike Burrows,,822712,strikeouts,prizepicks,4.0,,1.0,True,True,firecrawl
2026-07-06,Miles Mikolas,,822712,strikeouts,prizepicks,3.0,,1.0,True,True,firecrawl
2026-07-06,Freddy Peralta,,824900,strikeouts,prizepicks,5.0,,1.0,True,True,firecrawl
2026-07-06,Shane Drohan,,823036,strikeouts,prizepicks,4.0,,1.0,True,True,firecrawl
2026-07-06,Walker Buehler,,823282,strikeouts,prizepicks,4.0,,1.0,True,True,firecrawl
2026-07-06,Brandon Pfaadt,,823282,strikeouts,prizepicks,3.5,,1.0,True,True,firecrawl
2026-07-06,Landen Roupp,,823205,strikeouts,prizepicks,5.0,,1.0,True,True,firecrawl
2026-07-06,Kevin Gausman,,823205,strikeouts,prizepicks,5.0,,1.0,True,True,firecrawl
2026-07-06,Kyle Freeland,,823930,strikeouts,prizepicks,4.0,,1.0,True,True,firecrawl
2026-07-06,Eric Lauer,,823930,strikeouts,prizepicks,4.0,,1.0,True,True,firecrawl
2026-07-06,Payton Tolle,,,strikeouts,prizepicks,5.5,,1.0,True,True,firecrawl
