date,player,team,game,market,platform,line,slot,more_boost,more_available,less_available,notes
2026-07-06,Jonathan Aranda,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Ben Rice,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Junior Caminero,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Yandy Díaz,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Trent Grisham,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Austin Wells,,,hits_runs_rbis,prizepicks,0.5,,1.0,True,True,firecrawl
2026-07-06,Yordan Alvarez,,,hits_runs_rbis,prizepicks,2.5,,1.0,True,True,firecrawl
2026-07-06,Curtis Mead,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Yainer Diaz,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Isaac Paredes,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,LaMonte Wade Jr.,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Cam Smith,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Dylan Crews,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,A.J. Ewing,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Francisco Lindor,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Drake Baldwin,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Mauricio Dubón,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Carson Benge,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Ivan Herrera,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,JJ Wetherholt,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Christian Yelich,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Jake Bauers,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Brice Turang,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Manny Machado,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Corbin Carroll,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Jake Cronenworth,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Gavin Sheets,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Lourdes Gurriel Jr.,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Geraldo Perdomo,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Gabriel Moreno,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Ty France,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Jackson Merrill,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Daulton Varsho,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Alejandro Kirk,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Heliot Ramos,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Jung Hoo Lee,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Ernie Clement,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Vladimir Guerrero Jr.,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Rafael Devers,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Kazuma Okamoto,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Casey Schmitt,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Nathan Lukes,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Shohei Ohtani,,,hits_runs_rbis,prizepicks,2.5,,1.0,True,True,firecrawl
2026-07-06,Miguel Rojas,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Cole Carrigg,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
2026-07-06,Dalton Rushing,,,hits_runs_rbis,prizepicks,1.5,,1.0,True,True,firecrawl
